nct_number,acronym,study_title,conditions,interventions,enrollment,start_date,primary_completion_date,completion_date,phases,study_status,study_type,study_results,brief_summary,primary_outcome_measures,secondary_outcome_measures,simplified_primary_outcome,simplified_secondary_outcome,inclusion_criteria,exclusion_criteria,sponsor,funder_type,other_ids,lilly_id,publications,last_update_date,cluwe_path,indication,compound,relevant_publication,publication_source,Results Status
NCT07357740,NCT07357740,A Research Study to Compare Two Different Versions of Injectable CagriSema in People With Type 2 Diabetes,"Diabetes Mellitus, Type 2",DRUG: CagriSema | DRUG: Placebo CagriSema,0,8/27/2026,8/25/2027,10/13/2027,PHASE2,WITHDRAWN,INTERVENTIONAL,No,This study is being done to look at how well a study medicine called CagriSema helps people with diabetes lower their blood sugar. In this study the sponsor will compare two version of CagriSema injected by two different types of injection devices. Which treatment participants get is decided by chance. CagriSema is still being tested in studies and is not yet available for doctors to prescribe. The study will last for about 38 weeks.,Change in glycated haemoglobin (HbA1c) (Baseline to week 28): Measured as percentage-points (%-points).,"Weekly average cagrilintide (total) and semaglutide concentration (Cavg) based on population pharmacokinetic analyses (From baseline to week 28): Measured in nanomoles per litre (nmol/L). | Change in HbA1c (From baseline to week 28): Measured as %-points. | Number of Treatment Emergent Adverse Events (TEAEs) (From baseline to week 35): Measured as count of events. | Number of clinically significant hypoglycaemic episodes (level 2) (less than [<] 3.0 millimoles per litre [mmol/L]), confirmed by blood glucose (BG) meter, or severe hypoglycaemic episodes (level 3) (From baseline to week 35): Measured as count of episodes.",Change in glycated haemoglobin (HbA1c) (Baseline to week 28),"Weekly average cagrilintide (total) and semaglutide concentration (Cavg) based on population pharmacokinetic analyses (From baseline to week 28) | Change in HbA1c (From baseline to week 28) | Number of Treatment Emergent Adverse Events (TEAEs) (From baseline to week 35) | Number of clinically significant hypoglycaemic episodes (level 2) (less than [<] 3.0 millimoles per litre [mmol/L]), confirmed by blood glucose (BG) meter, or severe hypoglycaemic episodes (level 3) (From baseline to week 35)","* Male or female (sex assigned at birth, inclusive of all gender identities). * Age 18-64 years (both inclusive) at the time of signing the informed consent. * Diagnosed with type 2 diabetes mellitus greater than or equal to (\>=) 180 days before screening. * Glycated haemoglobin (HbA1c) 7.0-10.5 percent (%) (53-91 \[millimoles per mole\] mmol/mol) (both inclusive) as determined by the central laboratory at screening. * Stable daily dose \>= 90 days before screening of metformin at effective or maximum tolerated dose as judged by the investigator. * Body mass index (BMI) between 25.0 and 39.9 kilograms per square metre (kg/m\^2) (both inclusive) at screening. BMI will be calculated in the electronic case report form (eCRF) based on height and body weight at screening.",* Renal impairment with estimated Glomerular Filtration Rate (eGFR) \< 30 millilitre per minute per 1.73 square metre (mL/min/1.73 m\^2) as determined by the central laboratory at screening. * Treatment with any anti-diabetic or anti-obesity medication (irrespective of indication) other than stated in the inclusion criteria within 90 days before screening. * Uncontrolled and potentially unstable diabetic retinopathy or maculopathy. Verified by an eye examination performed within 90 days before screening or in the period between screening and randomisation. * Previous exposure to CagriSema in a clinical study.,Novo Nordisk A/S,INDUSTRY,U1111-1323-3766 | 2025-522570-37,,,7/9/2026,,Type 2 Diabetes,CagriSema,No Article Found,,No Result Yet
NCT07357766,NCT07357766,A Research Study to Compare Different Versions of Injectable CagriSema and Placebo in People With Excess Body Weight,Overweight | Obesity,DRUG: Cagrisema | DRUG: Placebo CagriSema,0,6/22/2026,11/29/2027,1/17/2028,PHASE3,WITHDRAWN,INTERVENTIONAL,No,"This study is being done to find out how well a medicine called CagriSema helps people with overweight or obesity lose weight. CagriSema is still being tested in studies and is not yet available for doctors to prescribe. In this study the sponsor will compare two version of CagriSema injected by two different types of injection devices. Which treatment participants get is decided by chance using a computer program, so neither participants nor study staff will know which treatment is given. The study will last for about one year.",Relative change in body weight (From baseline (week 0) to end of treatment (week 44)): Measured in percentage (%).,Number of TEAEs (treatment emergent adverse events) (From baseline (week 0) to end of study (week 51)): Measured in count of events. | Number of TESAEs (Treatment emergent serious adverse events) (From baseline (week 0) to end of study (week 51)): Measured in count of events.,Relative change in body weight (From baseline (week 0) to end of treatment (week 44)),Number of TEAEs (treatment emergent adverse events) (From baseline (week 0) to end of study (week 51)) | Number of TESAEs (Treatment emergent serious adverse events) (From baseline (week 0) to end of study (week 51)),"* Male or female (sex at birth) * Age 18 years or above at the time of signing the informing consent. * Body Mass Index (BMI) is greater than or equal to (\>= ) 30.0 kilograms per square metre (kg/m\^2) or BMI \>= 27.0 kg/m\^2 with the presence of at least one obesity-related complication including, but not limited to, hypertension, dyslipidaemia, obstructive sleep apnoea or cardiovascular disease.",* Glycosylated haemoglobin (HbA1c) \>= 6.5 % (48 millimoles per mole \[mmol/mol\]) as measured by the central laboratory at screening. * History of type 1 or type 2 diabetes. * Previous exposure to CagriSema in a clinical study.,Novo Nordisk A/S,INDUSTRY,U1111-1317-0133 | 2024-520448-41,,,7/9/2026,,Chronic Weight Management,CagriSema,No Article Found,,No Result Yet
NCT06065540,REIMAGINE 2,"A Research Study to See How Well CagriSema Compared to Semaglutide, Cagrilintide and Placebo Lowers Blood Sugar and Body Weight in People With Type 2 Diabetes Treated With Metformin With or Without an SGLT2 Inhibitor",Type 2 Diabetes Mellitus,DRUG: Cagrilintide | DRUG: Semaglutide | DRUG: Placebo cagrilintide | DRUG: Placebo semaglutide,2734,9/27/2023,11/19/2025,1/6/2026,PHASE3,COMPLETED,INTERVENTIONAL,No,"The study will look at how well CagriSema helps people lower their blood sugar and body weight. CagriSema is a new weekly medicine that combines two medicines called semaglutide and cagrilintide. CagriSema will be compared to the two medicines semaglutide and cagrilintide, when they are taken alone. CagriSema will also be compared to a ""dummy"" medicine without any active ingredient. The study will be done in participants who have type 2 diabetes. Participants will take the study medicine together with the current diabetes medicine (metformin with or without an SGLT2 inhibitor).",CagriSema (dose 1) versus semaglutide (dose 1): Change in glycated haemoglobin (HbA1c) (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points.,"CagriSema versus cagrilintide: Change in HbA1c (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus cagrilintide: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)): Measured in percentage. | CagriSema (dose 1) versus semaglutide (dose 2): Change in HbA1c (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)): Measured in percentage. | Cagrilintide versus placebo: Change in HbA1c (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points. | Cagrilintide versus placebo: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)): Measured in percentage. | CagriSema versus semaglutide: Achievement of greater than or equal to (>=) 10 percent (%) weight reduction (From baseline (week 0) to end of treatment (week 68)): Measured as count of participants. | CagriSema versus semaglutide: Achievement of >= 15 % weight reduction (From baseline (week 0) to end of treatment (week 68)): Measured as count of participants. | CagriSema versus semaglutide: Achievement of >= 20 % weight reduction (From baseline (week 0) to end of treatment (week 68)): Measured as count of participants. | CagriSema (pooled doses) versus semaglutide (pooled doses): Continuous Glucose Monitoring (CGM) - Change in Time in Range (TIR) 3.9-10.0 millimoles per litre (mmol/L) (70-180 milligrams per decilitre [mg/dL]) (From baseline (week -3) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: CGM - Change in time in Tight Target Range (TITR) 3.9-7.8 (mmol/L) (70-140 mg/dL) (From baseline (week -3) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: Change in Systolic Blood Pressure (SBP) (From baseline (week 0) to end of treatment (week 68)): Measured in millimeters of mercury (mmHg). | CagriSema versus semaglutide: Ratio to baseline in triglycerides (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of triglycerides. | CagriSema versus semaglutide: Ratio to baseline in non-High Density Lipoprotein (HDL) cholesterols (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of non-HDL cholesterol. | CagriSema versus semaglutide: CGM - Change in Time In Range (TIR) 3.9-10.0 mmol/L (70-180 mg/dL) (From baseline (week -3) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: Ratio to baseline in high sensitivity C-Reactive Protein (hsCRP) (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of hsCRP. | CagriSema versus semaglutide: Change in Fasting Plasma Glucose (FPG) (From baseline (week 0) to end of treatment (week 68)): Measured in mmol/L. | CagriSema versus semaglutide: Achievement of HbA1c target values of less than (<) 7.0% (<53 millimoles per mole [mmol/mol]) (At end of treatment (week 68)): Measured as count of participants. | CagriSema versus semaglutide: Achievement of HbA1c target values of less than or equal to (≤)6.5% (≤48 mmol/mol) (At end of treatment (week 68)): Measured as count of participants. | CagriSema versus semaglutide: CGM - Change in time above range, >10.0 mmol/L (>180 mg/dL) (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: CGM - Change in time above range, >13.9 mmol/L (>250 mg/dL) (From baseline (week 0) to end of treatment (week 68)): Measured in percentage-points. | CagriSema versus semaglutide: CGM - Within-day glycaemic variability (% coefficient of variation [CV]) (At end of treatment (week 68)): Measured in percentage. | CagriSema versus semaglutide: Achievement of ≥ 5 % weight reduction (From baseline (week 0) to end of treatment (week 68)): Measured as count of participants. | CagriSema versus semaglutide: Change in waist circumference (From baseline (week 0) to end of treatment (week 68)): Measured in centimetre. | CagriSema versus semaglutide: Change in Diastolic Blood Pressure (DBP) (From baseline (week 0) to end of treatment (week 68)): Measured in mmHg. | CagriSema versus semaglutide: Ratio to baseline in total cholesterol (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of total cholesterol. | CagriSema versus semaglutide: Ratio to baseline in HDL cholesterol (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of HDL cholesterol. | CagriSema versus semaglutide: Ratio to baseline in low-density lipoprotein (LDL) cholesterol (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of LDL cholesterol. | CagriSema versus semaglutide: Ratio to baseline in very low-density lipoprotein (VLDL) cholesterol (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of VLDL. | CagriSema versus semaglutide: Ratio to baseline in free fatty acids (From baseline (week 0) to end of treatment (week 68)): Measured as ratio of free fatty acids. | CagriSema versus semaglutide: Change in Short Form (SF)-36v score- Physical component summary score (From baseline (week 0) to end of treatment (week 68)): SF-36v2 measure consists of 36 items yielding 8 health domain scores and 2 component summary scores. SF-36v2 acute scores are norm-based scores, i.e. transformed to a scale where the 2009 US general population has a mean of 50 and an standard deviation of 10. Physical component summary score range from 6.1 to 79.7, with higher scores indicating better functional health and well-being. | CagriSema versus semaglutide: Change in SF-36v2 score- Mental component summary score (From baseline (week 0) to end of treatment (week 68)): SF-36v2 measure consists of 36 items yielding 8 health domain scores and 2 component summary scores. SF-36v2 acute scores are norm-based scores, i.e. transformed to a scale where the 2009 US general population has a mean of 50 and an standard deviation of 10. Mental component summary score range from -3.8 to 78.7, with higher scores indicating better functional health and well-being. | CagriSema versus semaglutide: Change in Diabetes Treatment Satisfaction Questionnaire (DTSQ) score (From baseline (week 0) to end of treatment (week 68)): DTSQc measures treatment satisfaction and diabetes-specific quality of life (QoL). The measure consists of 8 items yielding 1 global score and 2 single item scores. Total treatment satisfaction scores range from 0-36, with higher scores indicating greater satisfaction; the perceived frequency of hyperglycemia/hypoglycemia items are scored separately, with lower scores indicating better perceived blood glucose control. | CagriSema versus semaglutide: Change in Treatment Related Impact Measure for Diabetes (TRIM-D) score (From baseline (week 0) to end of treatment (week 68)): TRIM-D measures impact of diabetes treatment. The measure consists of 28 items yielding 5 domain scores and a total score. The scores were transformed to a 0-100 scale with higher scores indicating a better health state. | CagriSema versus semaglutide, placebo and cagrilintide: Number of treatment emergent adverse events (TEAEs) (From baseline (week 0) to end of study (week 75)): Measured as count of events. | CagriSema versus semaglutide: Number of clinically significant hypoglycaemic episodes (level 2) (<3.0 mmol/L (54 mg/dL), confirmed by BG meter) (From baseline (week 0) to end of study (week 75)): Measured as count of episodes. | CagriSema versus semaglutide: Number of severe hypoglycaemic episodes (level 3) (From baseline (week 0) to end of study (week 75)): Measured as count of episodes. Hypoglycaemia episodes (level 3) are the episodes associated with severe cognitive impairment requiring external assistance for recovery, with no specific glucose threshold.",CagriSema (dose 1) versus semaglutide (dose 1): Change in glycated haemoglobin (HbA1c) (From baseline (week 0) to end of treatment (week 68)),"CagriSema versus cagrilintide: Change in HbA1c (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus cagrilintide: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)) | CagriSema (dose 1) versus semaglutide (dose 2): Change in HbA1c (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)) | Cagrilintide versus placebo: Change in HbA1c (From baseline (week 0) to end of treatment (week 68)) | Cagrilintide versus placebo: Relative change in body weight (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of greater than or equal to (>=) 10 percent (%) weight reduction (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of >= 15 % weight reduction (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of >= 20 % weight reduction (From baseline (week 0) to end of treatment (week 68)) | CagriSema (pooled doses) versus semaglutide (pooled doses): Continuous Glucose Monitoring (CGM) - Change in Time in Range (TIR) 3.9-10.0 millimoles per litre (mmol/L) (70-180 milligrams per decilitre [mg/dL]) (From baseline (week -3) to end of treatment (week 68)) | CagriSema versus semaglutide: CGM - Change in time in Tight Target Range (TITR) 3.9-7.8 (mmol/L) (70-140 mg/dL) (From baseline (week -3) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Systolic Blood Pressure (SBP) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in triglycerides (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in non-High Density Lipoprotein (HDL) cholesterols (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: CGM - Change in Time In Range (TIR) 3.9-10.0 mmol/L (70-180 mg/dL) (From baseline (week -3) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in high sensitivity C-Reactive Protein (hsCRP) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Fasting Plasma Glucose (FPG) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of HbA1c target values of less than (<) 7.0% (<53 millimoles per mole [mmol/mol]) (At end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of HbA1c target values of less than or equal to (≤)6.5% (≤48 mmol/mol) (At end of treatment (week 68)) | CagriSema versus semaglutide: CGM - Change in time above range, >10.0 mmol/L (>180 mg/dL) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: CGM - Change in time above range, >13.9 mmol/L (>250 mg/dL) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: CGM - Within-day glycaemic variability (% coefficient of variation [CV]) (At end of treatment (week 68)) | CagriSema versus semaglutide: Achievement of ≥ 5 % weight reduction (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in waist circumference (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Diastolic Blood Pressure (DBP) (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in total cholesterol (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in HDL cholesterol (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in low-density lipoprotein (LDL) cholesterol (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in very low-density lipoprotein (VLDL) cholesterol (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Ratio to baseline in free fatty acids (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Short Form (SF)-36v score- Physical component summary score (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in SF-36v2 score- Mental component summary score (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Diabetes Treatment Satisfaction Questionnaire (DTSQ) score (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide: Change in Treatment Related Impact Measure for Diabetes (TRIM-D) score (From baseline (week 0) to end of treatment (week 68)) | CagriSema versus semaglutide, placebo and cagrilintide: Number of treatment emergent adverse events (TEAEs) (From baseline (week 0) to end of study (week 75)) | CagriSema versus semaglutide: Number of clinically significant hypoglycaemic episodes (level 2) (<3.0 mmol/L (54 mg/dL), confirmed by BG meter) (From baseline (week 0) to end of study (week 75)) | CagriSema versus semaglutide: Number of severe hypoglycaemic episodes (level 3) (From baseline (week 0) to end of study (week 75))",* Male or female (sex at birth). * Age 18 years or above at the time of signing the informed consent. * Diagnosed with type 2 diabetes mellitus greater than or equal to 180 days before screening. * Stable daily dose(s) greater than or equal to 90 days before screening of any of the following antidiabetic drug(s) or combination regimen(s) at effective or maximum tolerated dose as judged by the investigator: metformin with or without Sodium-Glucose Cotransporter-2 (SGLT2) inhibitors. * Glycated haemoglobin (HbA1c) 7.0-10.5 percent (53-91 millimoles per mole \[mmol/mol\]) (both inclusive) as determined by central laboratory at screening. * Body Mass Index (BMI) greater than or equal to 25 kilogram per square metre ( kg/m\^2) at screening. BMI will be calculated in the electronic case report form (eCRF) based on height and body weight at screening.,"* Renal impairment with estimated Glomerular Filtration Rate (eGFR) less than 30 milliliters per minute per 1.73 square metre (mL/min/1.73 m\^2) as determined by central laboratory at screening. * Treatment with any medication for the indication of diabetes or obesity other than stated in the inclusion criteria within 90 days before screening. However, short term insulin treatment for a maximum of 14 consecutive days and prior insulin treatment for gestational diabetes are allowed. * Uncontrolled and potentially unstable diabetic retinopathy or maculopathy. Verified by an eye examination performed within 90 days before screening or in the period between screening and randomisation.",Novo Nordisk A/S,INDUSTRY,U1111-1283-0427 | 2022-502678-18,,https://pubmed.ncbi.nlm.nih.gov/42251859/,7/8/2026,,Type 2 Diabetes,CagriSema,https://pubmed.ncbi.nlm.nih.gov/42251859/,pubmed registry,No Result Yet
NCT07564414,NCT07564414,A Research Study to Look at How Two Different Doses of CagriSema and One Dose of Semaglutide Help People Living With Obesity With or Without Type 2 Diabetes Lose Weight,Obesity | Type 2 Diabetes,DRUG: Cagrisema | DRUG: Semaglutide,2500,5/21/2026,2/23/2028,4/19/2028,PHASE3,RECRUITING,INTERVENTIONAL,No,"This clinical study is testing how the study medicine CagriSema helps people living with obesity, with or without type 2 diabetes (T2D), lose weight. The purpose of the study is to find out how safe and effective CagriSema is for body weight loss in these participants. Participants will receive either CagriSema or semaglutide, and which treatment participants receive is decided by chance. CagriSema is a new study medicine being tested, while semaglutide is a medicine that doctors can already prescribe. The study will last for about 83 weeks",Relative change in body weight (From randomisation (week 0) to end of treatment (week 72)): Measured as percentage (%).,"Relative change in body weight (From randomisation (week 0) to end of treatment (week 72)): Measured as %. | Change in Body Mass Index (BMI) (From randomisation (week 0) to end of treatment (week 72)): Measured as kilograms per square metre (kg/m\^2). | Number of participants who achieve greater than or equal to (≥) 30% weight reduction (From randomisation (week 0) to end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve ≥25% weight reduction (From randomisation (week 0) to end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve greater ≥ 20% weight reduction (From randomisation (week 0) to end of treatment (week 72)): Measured as count of participants. | Change in waist circumference (From randomisation (week 0) to end of treatment (week 72)): Measured in centimetre (cm). | Mean change in body weight (From randomisation (week 0) to end of treatment (week 72)): Measured in kilograms (kg). | Number of participants who achieve a BMI less than (<) 30 kg/m^2 (From randomisation (week 0) to end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve BMI <27 kg/m^2 (end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve normal BMI, defined as 18.5 lesser than or equal to (≤) BMI < 25 kg/m^2 (At end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve a waist-to-height ratio < 0.53 (At end of treatment (week 72)): Measured as count of participants. | Ratio to baseline : Total cholesterol (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline : High density lipoprotein (HDL) cholesterol (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline : Low density lipoprotein (LDL) cholesterol (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline : Very low density lipoprotein ( VLDL) cholesterol (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline : Triglycerides (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline: Free fatty acids (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Ratio to baseline : Non-HDL cholesterol (From baseline (week 0) to end of treatment (week 72)): Measured in terms of ratio. | Change in Short-Form-36 Health Survey Version 2.0 (SF-36v2) physical Function (From randomisation (week 0) to end of treatment (week 72)): Measured as score on a scale. The SF-36v2 acute measures health-related quality of life (HRQOL). The measure consists of 36 items yielding 8 health domain scores and 2 component summary scores. SF-36v2 acute scores are norm-based scores, i.e. transformed to a scale where the 2009 United States general population has a mean of 50 and a standard deviation of 10. Physical functioning score ranges from 19.0-57.6, with higher scores indicating better functional health and well-being. | Change in Impact of Weight on Quality of Life-Lite Clinical Trials (IWQOL-Lite-CT) physical function (From randomisation (week 0) to end of treatment (week 72)): Measured as score on a scale. IWQOL-Lite-CT measures weight-related physical and psychosocial functioning. The measure consists of 20 items yielding 3 composite scores, and 1 total score. Physical function score ranges from 0 to 100, with higher scores indicating better levels of functioning. | Change in glycated haemoglobin (HbA1c) (From randomisation (week 0) to end of treatment (week 72)): Measured in %-points. | Number of participants who achieve HbA1c <6.5% (At end of treatment (week 72)): Measured as count of participants. | Number of participants who achieve normal HbA1c <5.7% (At end of treatment (week 72)): Measured as count of participants. | Number of treatment-emergent adverse events (TEAEs) (From randomisation (week 0) to end of study (week 80)): Measured in number of events. | Number of treatment-emergent serious adverse events (TESAEs) (From randomisation (week 0) to end of study (week 80)): Measured in number of events.",Relative change in body weight (From randomisation (week 0) to end of treatment (week 72)),"Relative change in body weight (From randomisation (week 0) to end of treatment (week 72)) | Change in Body Mass Index (BMI) (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve greater than or equal to (≥) 30% weight reduction (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve ≥25% weight reduction (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve greater ≥ 20% weight reduction (From randomisation (week 0) to end of treatment (week 72)) | Change in waist circumference (From randomisation (week 0) to end of treatment (week 72)) | Mean change in body weight (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve a BMI less than (<) 30 kg/m^2 (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve BMI <27 kg/m^2 (end of treatment (week 72)) | Number of participants who achieve normal BMI, defined as 18.5 lesser than or equal to (≤) BMI < 25 kg/m^2 (At end of treatment (week 72)) | Number of participants who achieve a waist-to-height ratio < 0.53 (At end of treatment (week 72)) | Ratio to baseline : Total cholesterol (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline : High density lipoprotein (HDL) cholesterol (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline : Low density lipoprotein (LDL) cholesterol (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline : Very low density lipoprotein ( VLDL) cholesterol (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline : Triglycerides (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline: Free fatty acids (From baseline (week 0) to end of treatment (week 72)) | Ratio to baseline : Non-HDL cholesterol (From baseline (week 0) to end of treatment (week 72)) | Change in Short-Form-36 Health Survey Version 2.0 (SF-36v2) physical Function (From randomisation (week 0) to end of treatment (week 72)) | Change in Impact of Weight on Quality of Life-Lite Clinical Trials (IWQOL-Lite-CT) physical function (From randomisation (week 0) to end of treatment (week 72)) | Change in glycated haemoglobin (HbA1c) (From randomisation (week 0) to end of treatment (week 72)) | Number of participants who achieve HbA1c <6.5% (At end of treatment (week 72)) | Number of participants who achieve normal HbA1c <5.7% (At end of treatment (week 72)) | Number of treatment-emergent adverse events (TEAEs) (From randomisation (week 0) to end of study (week 80)) | Number of treatment-emergent serious adverse events (TESAEs) (From randomisation (week 0) to end of study (week 80))","* Male or female (sex assigned at birth, inclusive of all gender identities). * Age 18 years or above at the time of signing the informed consent. * BMI≥ 35.0 kg/m\^2. * Participants without T2D: No history of T2D and HbA1c \< 6.5% (48 millimoles per mole (mmol/mol)) Participants with T2D: A history of T2D and HbA1c \< 10% (\< 86 mmol/mol). If a participant without a history of diabetes during the screening period receives an HbA1c result of 6.5% (48 mmol/mol) or higher, the investigator or the participant's healthcare provider must confirm the diagnosis of type 2 diabetes before the participant is randomised.","* A self-reported change in body weight \> 5% within 90 days before screening, irrespective of medical records. * Use of any glucagon-like-peptide-1 receptor agonist (GLP-1 RA), including medication with GLP-1 RA activity, or amylin analogues, including medication with amylin activity, within 6 months before screening.",Novo Nordisk A/S,INDUSTRY,U1111-1323-0372 | 2025-522488-14,,,7/8/2026,,Chronic Weight Management,CagriSema,No Article Found,,No Result Yet
